Country ,CPI Score,Latitude ,Longitude
Afghanistan,16,33.93911,67.709953
Albania,35,41.153332,20.168331
Algeria,33,28.033886,1.659626
Angola,29,-11.202692,17.873887
Argentina,38,-38.416097,-63.616672
Armenia,49,40.069099,45.038189
Australia,73,-25.274398,133.775136
Austria,74,47.516231,14.550072
Azerbaijan,30,40.143105,47.576927
Bahamas,64,25.03428,-77.39628
Bahrain,42,25.930414,50.637772
Bangladesh,26,23.684994,90.356331
Barbados,65,13.193887,-59.543198
Belarus,41,53.709807,27.953389
Belgium,73,50.503887,4.469936
Benin,42,9.30769,2.315834
Bhutan,68,27.514162,90.433601
Bolivia,30,-16.290154,-63.588653
Bosnia and Herzegovina,35,43.915886,17.679076
Botswana,55,-22.328474,24.684866
Brazil,38,-14.235004,-51.92528
Bulgaria,42,42.733883,25.48583
Burkina Faso,42,12.238333,-1.561593
Burundi,19,-3.373056,29.918886
Cabo Verde,58,16.002082,-24.013197
Cambodia,23,12.565679,104.990963
Cameroon,27,7.369722,12.354722
Canada,74,56.130366,-106.346771
Central African Republic,24,6.611111,20.939444
Chad,20,15.454166,18.732207
Chile,67,-35.675147,-71.542969
China,45,35.86166,104.195397
Colombia,39,4.570868,-74.297333
Comoros,20,-12.1373,44.25
Congo,21,-0.228021,15.827659
Costa Rica,58,9.748917,-83.753428
Cote d'Ivoire,36,7.539989,-5.54708
Croatia,47,45.1,15.2
Cuba,46,21.521757,-77.781167
Cyprus,53,35.126413,33.429859
Czechia,54,49.817492,15.472962
Democratic Republic of the Congo,19,-4.038333,21.758664
Denmark,88,56.26392,9.501785
Djibouti,30,11.825138,42.590275
Dominica,55,15.414999,-61.370976
Dominican Republic,30,18.735693,-70.162651
Ecuador,36,-1.831239,-78.183406
Egypt,33,26.820553,30.802498
El Salvador,34,13.794185,-88.89653
Equatorial Guinea,17,1.650801,10.267895
Eritrea,22,15.179384,39.782334
Estonia,74,58.595272,25.013607
Eswatini,32,-26.522503,31.465866
Ethiopia,39,9.145,40.489673
Fiji,55,-16.578193,179.414413
Finland,88,61.92411,25.748151
France,71,46.227638,2.213749
Gabon,31,-0.803689,11.609444
Gambia,37,13.443182,-15.310139
Georgia,55,42.315407,43.356892
Germany,80,51.165691,10.451526
Ghana,43,7.946527,-1.023194
Greece,49,39.074208,21.824312
Grenada,53,12.262776,-61.604171
Guatemala,25,15.783471,-90.230759
Guinea,25,9.945587,-9.696645
Guinea Bissau,21,11.803749,-15.180413
Guyana,39,4.860416,-58.93018
Haiti,20,18.971187,-72.285215
Honduras,23,15.199999,-86.241905
Hong Kong,76,22.396428,114.109497
Hungary,43,47.162494,19.503304
Iceland,74,64.963051,-19.020835
India,40,20.593684,78.96288
Indonesia,38,-0.789275,113.921327
Iran,25,32.427908,53.688046
Iraq,23,33.223191,43.679291
Ireland,74,53.41291,-8.24389
Israel,59,31.046051,34.851612
Italy,56,41.87194,12.56738
Jamaica,44,18.109581,-77.297508
Japan,73,36.204824,138.252924
Jordan,49,30.585164,36.238414
Kazakhstan,37,48.019573,66.923684
Kenya,30,-0.023559,37.906193
North Korea,16,40.339852,127.510093
South Korea,62,35.907757,127.766922
Kosovo,39,42.602636,20.902977
Kuwait,43,29.31166,47.481766
Kyrgyzstan,27,41.20438,74.766098
Laos,30,19.85627,102.495496
Latvia,59,56.879635,24.603189
Lebanon,24,33.854721,35.862285
Lesotho,38,-29.609988,28.233608
Liberia,29,6.428055,-9.429499
Libya,17,26.3351,17.228331
Lithuania,61,55.169438,23.881275
Luxembourg,81,49.815273,6.129583
Madagascar,26,-18.766947,46.869107
Malawi,35,-13.254308,34.301525
Malaysia,48,4.210484,101.975766
Maldives,40,3.202778,73.22068
Mali,29,17.570692,-3.996166
Malta,54,35.937496,14.375416
Mauritania,28,21.00789,-10.940835
Mauritius,54,-20.348404,57.552152
Mexico,31,23.634501,-102.552784
Moldova,36,47.411631,28.369885
Mongolia,35,46.862496,103.846656
Montenegro,46,42.708678,19.37439
Morocco,39,31.791702,-7.09262
Mozambique,26,-18.665695,35.529562
Myanmar,28,21.913965,95.956223
Namibia,49,-22.95764,18.49041
Nepal,33,28.394857,84.124008
Netherlands,82,52.132633,5.291266
New Zealand,88,-40.900557,174.885971
Nicaragua,20,12.865416,-85.207229
Niger,31,17.607789,8.081666
Nigeria,24,9.081999,8.675277
North Macedonia,39,41.608635,21.745275
Norway,85,60.472024,8.468946
Oman,52,21.512583,55.923255
Pakistan,28,30.375321,69.345116
Panama,36,8.537981,-80.782127
Papua New Guinea,31,-6.314993,143.95555
