Country ,CPI Score,Latitude ,Longitude,Water 
Denmark,88,56.26392,9.501785,96.73
Finland,88,61.92411,25.748151,99.64
New Zealand,88,-40.900557,174.885971,100
Norway,85,60.472024,8.468946,98.64
Singapore,85,1.352083,103.819836,100
Sweden,85,60.128161,18.643501,99.75
Switzerland,84,46.818188,8.227512,94.25
Netherlands,82,52.132633,5.291266,99.97
Luxembourg,81,49.815273,6.129583,99.46
Germany,80,51.165691,10.451526,99.99
United Kingdom,78,55.378051,-3.435973,99.82
Hong Kong,76,22.396428,114.109497,100
Austria,74,47.516231,14.550072,98.9
Canada,74,56.130366,-106.346771,99.04
Estonia,74,58.595272,25.013607,95.76
Iceland,74,64.963051,-19.020835,100
Ireland,74,53.41291,-8.24389,97.33
Australia,73,-25.274398,133.775136,100
Belgium,73,50.503887,4.469936,99.91
Japan,73,36.204824,138.252924,98.57
Uruguay,73,-32.522779,-55.765835,100
France,71,46.227638,2.213749,99.25
Seychelles,70,-4.679574,55.491977,87
United Arab Emirates,69,23.424076,53.847818,100
Bhutan,68,27.514162,90.433601,81
Chile,67,-35.675147,-71.542969,98.77
United States of America,67,37.09024,-95.712891,97.33
Qatar,63,25.354826,51.183884,96.18
South Korea,62,35.907757,127.766922,99.19
Portugal,62,39.399872,-8.224454,95.35
Lithuania,61,55.169438,23.881275,94.92
Spain,61,40.463667,-3.74922,99.59
Israel,59,31.046051,34.851612,99.32
Costa Rica,58,9.748917,-83.753428,80.52
Slovenia,57,46.151241,14.995463,98.27
Italy,56,41.87194,12.56738,95.82
Poland,56,51.919438,19.145136,98.33
Georgia,55,42.315407,43.356892,66.35
Czechia,54,49.817492,15.472962,97.88
Malta,54,35.937496,14.375416,100
Cyprus,53,35.126413,33.429859,99.77
Rwanda,53,-1.940278,29.873888,12.1
Oman,52,21.512583,55.923255,90.56
Slovakia,52,48.669026,19.699024,99.24
Armenia,49,40.069099,45.038189,86.91
Greece,49,39.074208,21.824312,100
Jordan,49,30.585164,36.238414,85.7
Malaysia,48,4.210484,101.975766,93.82
Montenegro,46,42.708678,19.37439,85.07
Romania,45,45.943161,24.96676,81.99
Sao Tome and Principe,45,0.18636,6.613081,36.17
Tunisia,44,33.886917,9.537499,79.29
Ghana,43,7.946527,-1.023194,41.41
Hungary,43,47.162494,19.503304,92.59
Kuwait,43,29.31166,47.481766,100
Bahrain,42,25.930414,50.637772,98.98
Bulgaria,42,42.733883,25.48583,97.62
Belarus,41,53.709807,27.953389,94.61
Colombia,39,4.570868,-74.297333,73.01
Ethiopia,39,9.145,40.489673,12.58
Morocco,39,31.791702,-7.09262,79.95
North Macedonia,39,41.608635,21.745275,76.83
Suriname,39,3.919305,-56.027783,55.76
Brazil,38,-14.235004,-51.92528,85.77
Lesotho,38,-29.609988,28.233608,28.91
Serbia,38,44.016521,21.005859,75.04
Gambia,37,13.443182,-15.310139,44.72
Kazakhstan,37,48.019573,66.923684,89.33
Ecuador,36,-1.831239,-78.183406,66.83
Moldova,36,47.411631,28.369885,74.07
Peru,36,-9.189967,-75.015152,51.26
Albania,35,41.153332,20.168331,70.67
Bosnia and Herzegovina,35,43.915886,17.679076,88.87
Mongolia,35,46.862496,103.846656,30.06
Sierra Leone,34,8.460555,-11.779889,10.62
Algeria,33,28.033886,1.659626,72.38
Nepal,33,28.394857,84.124008,17.58
Philippines,33,12.879721,121.774017,47.46
Mexico,31,23.634501,-102.552784,43.03
Azerbaijan,30,40.143105,47.576927,88.32
Paraguay,30,-23.442503,-58.443832,64.08
Togo,30,8.619543,0.824782,19.56
Russia,29,61.52401,105.318756,76.1
Myanmar,28,21.913965,95.956223,58.83
Pakistan,28,30.375321,69.345116,35.84
Uzbekistan,28,41.377491,64.585262,58.83
Kyrgyzstan,27,41.20438,74.766098,70.09
Uganda,27,1.373333,32.290275,16.65
Madagascar,26,-18.766947,46.869107,20.54
Guatemala,25,15.783471,-90.230759,55.83
Iran,25,32.427908,53.688046,93.98
Tajikistan,25,38.861034,71.276093,55.24
Central African Republic,24,6.611111,20.939444,6.18
Nigeria,24,9.081999,8.675277,21.67
Cambodia,23,12.565679,104.990963,27.76
Iraq,23,33.223191,43.679291,59.66
Congo,21,-0.228021,15.827659,45.9
Guinea Bissau,21,11.803749,-15.180413,24.33
Chad,20,15.454166,18.732207,5.59
Nicaragua,20,12.865416,-85.207229,55.52
Democratic Republic of the Congo,19,-4.038333,21.758664,18.99
Afghanistan,16,33.93911,67.709953,27.59
North Korea,16,40.339852,127.510093,66.38
South Sudan,11,6.876991,31.306978,10
